Muestras,Region,Nucleo,Celula
P1_CX1,Corteza,Cortex,neuron
P1_CX2,Corteza,Cortex,neuron
P1_CX3,Corteza,Cortex,neuron
P1_CX4,Corteza,Cortex,neuron
P1_CX5,Corteza,Cortex,neuron
P1_CX6,Corteza,Cortex,neuron
P0_TOM_DLG1,Talamo,Dorsal,neuron
P0_TOM_DLG2,Talamo,Dorsal,neuron
P0_TOM_DLG3,Talamo,Dorsal,neuron
P0_TOM_DLG4,Talamo,Dorsal,neuron
P0_TOM_MGV1,Talamo,Medial,neuron
P0_TOM_MGV2,Talamo,Medial,neuron
P0_TOM_MGV3,Talamo,Medial,neuron
P0_TOM_VPM1,Talamo,Ventral,neuron
P0_TOM_VPM2,Talamo,Ventral,neuron
P0_TOM_VPM3,Talamo,Ventral,neuron
P0_TOM_VPM4,Talamo,Ventral,neuron

